,loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,risk_factor,emp_length,annual_inc,total_debt,delinq_2yrs,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_amnt,collections_12_mths_ex_med,mths_since_last_major_derog,policy_code,acc_now_delinq,tot_coll_amt,tot_cur_bal,total_credit_rv,dti,loan_is_bad_num,loan_currency_num,K3 - Predicted,K8 - Predicted
135,16625,16625,16625.0,60,17.27,415.6,-3,7.0,39000.0,10775.7,0,0,0.0,0.0,10,0,27190,87.1,34,0.0,0.0,7062.26,7062.26,3367.66,3694.6,0.0,0.0,0.0,415.6,0,0.0,1,0,0.0,27409.0,31200.0,0.276,1,0,2,1
140,12000,12000,11975.0,36,17.27,429.45,-3,7.0,90000.0,6849.0,0,1,37.0,0.0,10,0,28260,72.2,28,0.0,0.0,15175.077919999998,15143.48,12000.0,3175.08,0.0,0.0,0.0,4449.89,0,37.0,1,0,0.0,28260.0,39126.0,0.076,0,0,2,1
151,9600,9600,9600.0,36,17.27,343.56,-3,10.0,110000.0,23793.0,0,0,33.0,0.0,14,0,129892,46.6,28,0.0,0.0,9738.23,9738.23,9600.0,138.23,0.0,0.0,0.0,9740.19,0,40.0,1,0,0.0,198828.0,149700.0,0.21600000000000005,0,0,2,1
153,5375,5375,5375.0,36,17.27,192.36,-3,3.0,20000.0,4956.0,0,1,49.0,0.0,15,0,13775,79.6,34,10.6,10.6,6924.96,6924.96,5364.4,1560.56,0.0,0.0,0.0,192.36,0,0.0,1,0,0.0,13775.0,17300.0,0.248,0,1,2,1
165,12000,12000,11975.0,36,17.27,429.45,-3,10.0,82000.0,19917.8,0,3,0.0,0.0,11,0,9346,71.3,41,0.0,0.0,13936.4,13907.37,12000.0,1936.4,0.0,0.0,0.0,8802.66,0,0.0,1,0,0.0,35776.0,13100.0,0.243,0,0,2,1
166,14000,14000,14000.0,36,17.27,501.03,-3,10.0,86000.0,22893.2,1,2,18.0,0.0,10,0,7892,51.9,20,0.0,0.0,17862.38195,17862.38,14000.0,3862.38,0.0,0.0,0.0,3851.88,0,82.0,1,0,265.0,63978.0,15200.0,0.266,0,0,2,1
167,10625,10625,10625.0,36,17.27,380.24,-3,10.0,40000.0,7356.0,0,2,36.0,0.0,7,0,6565,79.1,19,0.0,0.0,13639.76984,13639.77,10625.0,3014.77,0.0,0.0,0.0,1868.43,0,36.0,1,0,0.0,26170.0,8300.0,0.184,0,0,2,1
172,5000,5000,5000.0,36,17.27,178.94,-3,10.0,114020.0,28242.75,0,1,29.0,0.0,14,0,11216,51.9,47,0.0,0.0,6418.87799,6418.88,5000.0,1418.88,0.0,0.0,0.0,880.7,0,29.0,1,0,0.0,122510.0,21600.0,0.248,0,0,2,1
181,12000,12000,12000.0,36,17.27,429.45,-3,7.0,70912.0,13317.27,1,2,13.0,0.0,18,0,7038,75.7,30,0.0,0.0,14281.514580000001,14281.51,12000.0,2281.51,0.0,0.0,0.0,7860.34,0,0.0,1,0,0.0,136109.0,9300.0,0.188,0,0,2,1
186,10000,10000,10000.0,36,17.27,357.88,-3,6.0,65000.0,13260.0,0,3,54.0,0.0,20,0,14331,55.3,48,0.0,0.0,12883.32806,12883.33,10000.0,2883.33,0.0,0.0,0.0,357.52,0,54.0,1,0,0.0,30063.0,25900.0,0.204,0,0,2,1
193,10000,10000,10000.0,36,17.27,357.88,-3,10.0,94500.0,24683.4,0,3,0.0,0.0,22,0,21741,87.3,39,0.0,0.0,12706.39286,12706.39,10000.0,2706.39,0.0,0.0,0.0,3042.04,0,0.0,1,0,0.0,354561.0,24900.0,0.261,0,0,2,1
195,12000,12000,12000.0,36,17.27,429.45,-3,10.0,45000.0,12190.5,0,1,64.0,0.0,13,0,12462,89.0,21,0.0,0.0,15460.05809,15460.06,12000.0,3460.06,0.0,0.0,0.0,429.3,0,0.0,1,0,0.0,23826.0,14000.0,0.271,0,0,2,1
199,9450,9450,9450.0,36,17.27,338.19,-3,10.0,28000.0,4824.4,1,0,11.0,0.0,11,0,10225,72.0,43,0.0,0.0,9851.07,9851.07,9450.0,401.07,0.0,0.0,0.0,137.72,0,0.0,1,0,0.0,15269.0,14200.0,0.172,0,0,2,1
203,10500,10500,10500.0,36,17.27,375.77,-3,10.0,70000.0,14042.0,2,2,4.0,0.0,6,0,1887,14.7,12,0.0,0.0,13527.537419999999,13527.54,10500.0,3027.54,0.0,0.0,0.0,375.58,0,0.0,1,0,0.0,211434.0,12800.0,0.201,0,0,2,1
204,8000,8000,8000.0,36,17.27,286.3,-3,6.0,35000.0,5999.0,0,1,70.0,0.0,9,0,8688,78.3,16,0.0,0.0,9371.89,9371.89,8000.0,1371.89,0.0,0.0,0.0,5659.33,0,76.0,1,0,0.0,13671.0,11100.0,0.171,0,0,2,1
214,5000,5000,5000.0,36,17.27,178.94,-3,10.0,105000.0,25420.5,0,1,0.0,0.0,17,0,27578,86.5,28,0.0,0.0,6441.664029,6441.66,5000.0,1441.66,0.0,0.0,0.0,178.76,0,0.0,1,0,0.0,332023.0,31900.0,0.242,0,0,2,1
219,12000,12000,11975.0,36,17.27,429.45,-3,5.0,35000.0,9996.0,0,1,35.0,0.0,8,0,7429,59.4,23,0.0,0.0,13128.82,13101.47,12000.0,1128.82,0.0,0.0,0.0,10555.86,0,35.0,1,0,0.0,39303.0,12500.0,0.28600000000000003,0,0,2,1
222,10500,10500,10500.0,36,17.27,375.77,-3,4.0,65000.0,17563.0,0,2,74.0,0.0,14,0,36613,79.7,56,0.0,0.0,12594.02952,12594.03,10500.0,2094.03,0.0,0.0,0.0,6587.17,0,0.0,1,0,0.0,241155.0,45936.0,0.27,0,0,2,1
224,9000,9000,9000.0,36,17.27,322.09,-3,1.0,41238.0,9794.02,0,0,25.0,0.0,10,0,18906,84.4,37,0.0,0.0,9934.52,9934.52,9000.0,934.52,0.0,0.0,0.0,7484.02,0,0.0,1,0,0.0,87794.0,22400.0,0.237,0,0,2,1
225,5000,5000,5000.0,36,17.27,178.94,-3,10.0,65000.0,13533.0,1,1,8.0,0.0,9,0,6964,86.0,24,355.37,355.37,6075.98,6075.98,4644.63,1431.35,0.0,0.0,0.0,178.94,0,0.0,1,0,0.0,183409.0,8100.0,0.208,1,1,2,1
228,12000,12000,12000.0,36,17.27,429.45,-3,1.0,55000.0,8233.5,0,2,35.0,0.0,15,0,16987,76.9,37,0.0,0.0,12875.1,12875.1,9542.88,3332.22,0.0,0.0,0.0,429.45,0,0.0,1,0,0.0,16987.0,22100.0,0.15,1,0,2,1
234,10000,10000,10000.0,36,17.27,357.88,-3,4.0,55000.0,8915.5,1,1,22.0,0.0,12,0,6328,60.8,14,0.0,0.0,12312.6476,12312.65,10000.0,2312.65,0.0,0.0,0.0,5155.05,0,54.0,1,0,0.0,29199.0,10400.0,0.162,0,0,2,1
235,12000,12000,11975.0,36,17.27,429.45,-3,2.0,85000.0,3213.0,0,2,58.0,0.0,9,0,8754,66.8,19,0.0,0.0,15460.05808,15427.85,12000.0,3460.06,0.0,0.0,0.0,429.3,0,58.0,1,0,0.0,8936.0,13100.0,0.038,0,0,2,1
236,9000,9000,9000.0,36,17.27,322.09,-3,1.0,50000.0,13270.0,1,3,20.0,0.0,17,0,7022,46.8,28,0.0,0.0,6221.07,6221.07,3673.99,1793.84,0.0,753.24,7.532399998,322.09,0,0.0,1,0,0.0,12646.0,15000.0,0.265,1,0,2,1
240,10950,10950,10950.0,36,17.27,391.88,-3,7.0,41100.0,9284.49,0,2,66.0,0.0,22,0,25372,51.6,56,0.0,0.0,13835.836009999999,13835.84,10950.0,2885.84,0.0,0.0,0.0,551.99,0,66.0,1,0,0.0,28492.0,49200.0,0.226,0,0,2,1
243,5000,5000,5000.0,36,17.27,178.94,-3,1.0,62000.0,7068.0,0,1,27.0,0.0,16,0,4395,95.5,22,0.0,0.0,6223.140587,6223.14,5000.0,1223.14,0.0,0.0,0.0,2286.88,0,27.0,1,0,0.0,48417.0,4600.0,0.114,0,0,2,1
244,10000,10000,10000.0,36,17.27,357.88,-3,6.0,95000.0,14810.5,1,1,7.0,0.0,10,0,20745,45.3,13,0.0,0.0,11815.62538,11815.63,10000.0,1815.63,0.0,0.0,0.0,108.98,0,0.0,1,0,0.0,42527.0,45796.0,0.156,0,0,2,1
246,8000,8000,8000.0,36,17.27,286.3,-3,1.0,70000.0,10822.0,0,2,58.0,0.0,10,0,10580,70.1,29,0.0,0.0,10306.7054,10306.71,8000.0,2306.71,0.0,0.0,0.0,286.2,0,66.0,1,0,0.0,82754.0,15100.0,0.155,0,0,2,1
247,9000,9000,9000.0,36,17.27,322.09,-3,10.0,80000.0,23368.0,1,2,18.0,0.0,10,0,14476,61.3,18,0.0,0.0,11595.016740000001,11595.02,9000.0,2595.02,0.0,0.0,0.0,321.86,0,18.0,1,0,0.0,90927.0,23600.0,0.292,0,0,2,1
248,1200,1200,1200.0,36,17.27,42.95,-3,3.0,55000.0,11148.5,0,3,45.0,0.0,9,0,18767,80.5,27,0.0,0.0,1282.52,1282.52,1200.0,82.52,0.0,0.0,0.0,1111.66,0,45.0,1,0,960.0,27316.0,23300.0,0.203,0,0,2,1
250,6000,6000,6000.0,36,17.27,214.73,-3,5.0,100000.0,14750.0,0,2,27.0,0.0,11,0,8072,39.2,19,0.0,0.0,964.02,964.02,389.42,252.64,0.0,321.96,2.93,214.73,0,0.0,1,0,0.0,343196.0,20600.0,0.14800000000000002,1,0,2,1
255,10000,10000,10000.0,36,17.27,357.88,-3,3.0,42000.0,14028.0,1,1,21.0,0.0,9,0,22005,81.8,33,0.0,0.0,12883.32806,12883.33,10000.0,2883.33,0.0,0.0,0.0,357.52,0,0.0,1,0,0.0,43133.0,26900.0,0.334,0,0,2,1
263,4000,4000,4000.0,36,17.27,143.15,-3,4.0,80000.0,18736.0,0,1,26.0,0.0,16,0,20625,62.5,37,0.0,0.0,5065.8199490000015,5065.82,4000.0,1065.82,0.0,0.0,0.0,1350.92,0,0.0,1,0,0.0,72049.0,33000.0,0.234,0,0,2,1
264,6000,6000,5975.0,36,17.27,214.73,-3,10.0,95000.0,22420.0,0,1,44.0,0.0,13,0,48421,81.9,39,0.0,0.0,7729.975362,7697.77,6000.0,1729.98,0.0,0.0,0.0,214.42,0,0.0,1,0,0.0,188277.0,59142.0,0.236,0,0,2,1
265,5100,5100,5100.0,36,17.27,182.52,-3,7.0,57000.0,13885.2,0,1,0.0,0.0,13,0,55680,93.7,26,0.0,0.0,6557.6960149999995,6557.7,5100.0,1457.7,0.0,0.0,0.0,725.88,0,0.0,1,0,0.0,206991.0,59400.0,0.244,0,0,2,1
266,9600,9600,9600.0,36,17.27,343.56,-3,10.0,82500.0,16475.25,0,1,0.0,0.0,24,0,12490,43.7,35,0.0,0.0,4168.39,4168.39,1721.43,1362.7,0.0,1084.26,10.8426,344.0,0,0.0,1,0,0.0,104990.0,28600.0,0.2,1,0,2,1
268,12000,12000,12000.0,36,17.27,429.45,-3,1.0,55000.0,7738.5,0,2,0.0,0.0,14,0,17675,59.5,25,0.0,0.0,14857.51819,14857.52,12000.0,2857.52,0.0,0.0,0.0,5840.61,0,0.0,1,0,966.0,41009.0,29700.0,0.141,0,0,2,1
272,8875,8875,8875.0,36,17.27,317.62,-3,7.0,53000.0,9010.0,0,1,27.0,0.0,11,0,5488,70.4,23,0.0,0.0,9002.75,9002.75,8875.0,127.75,0.0,0.0,0.0,9003.15,0,40.0,1,0,0.0,39290.0,7800.0,0.17,0,0,2,1
278,10200,10200,10200.0,36,17.27,365.03,-3,10.0,70000.0,8519.0,0,3,0.0,0.0,13,0,18048,51.3,40,0.0,0.0,12139.307279999999,12139.31,10200.0,1939.31,0.0,0.0,0.0,6681.56,0,0.0,1,0,0.0,24591.0,35200.0,0.122,0,0,2,1
281,6400,6400,6400.0,36,17.27,229.04,-3,3.0,56000.0,4463.2,0,3,63.0,0.0,10,0,13469,50.1,20,0.0,0.0,8245.364321,8245.36,6400.0,1845.36,0.0,0.0,0.0,228.96,0,65.0,1,0,0.0,13469.0,26900.0,0.08,0,0,2,1
282,12000,12000,12000.0,36,17.27,429.45,-3,4.0,65000.0,5258.5,1,1,9.0,0.0,16,0,10378,38.0,22,0.0,0.0,11155.9,11155.9,8020.42,3135.48,0.0,0.0,0.0,429.45,0,27.0,1,0,0.0,10378.0,27300.0,0.081,1,0,2,1
286,10800,10800,10800.0,36,17.27,386.51,-3,3.0,45000.0,5472.0,0,1,33.0,0.0,15,0,12130,43.7,22,0.0,0.0,13913.998590000001,13914.0,10800.0,3114.0,0.0,0.0,0.0,386.14,0,33.0,1,0,0.0,12130.0,29200.0,0.122,0,0,2,1
290,10000,10000,10000.0,36,17.27,357.88,-3,10.0,165000.0,16071.0,1,1,19.0,0.0,8,0,5236,48.0,29,0.0,0.0,12883.32806,12883.33,10000.0,2883.33,0.0,0.0,0.0,357.52,0,30.0,1,0,0.0,75313.0,10900.0,0.097,0,0,2,1
293,12000,12000,12000.0,36,17.27,429.45,-3,3.0,43450.0,8051.29,0,2,70.0,0.0,18,0,10981,59.4,28,0.0,0.0,15160.153890000001,15160.15,12000.0,3160.15,0.0,0.0,0.0,4439.58,0,0.0,1,0,0.0,236178.0,18500.0,0.185,0,0,2,1
294,8000,8000,8000.0,36,17.27,286.3,-3,2.0,50000.0,9035.0,1,2,8.0,0.0,9,0,5185,70.1,41,0.0,0.0,7730.1,7730.1,5591.42,2126.5,0.0,12.18,2.1924,286.3,0,8.0,1,0,0.0,215778.0,7400.0,0.181,1,0,2,1
295,3500,3500,3500.0,36,17.27,125.26,-3,0.0,60000.0,13488.0,0,2,47.0,0.0,10,0,18864,89.8,22,6.14,6.14,4506.66,4506.66,3493.86,1012.8,0.0,0.0,0.0,125.26,0,47.0,1,0,0.0,141690.0,21000.0,0.225,0,1,2,1
297,5500,5500,5500.0,36,17.27,196.83,-3,7.0,45000.0,13630.5,4,1,20.0,0.0,7,0,35834,89.5,49,0.0,0.0,6807.5836599999975,6807.58,5500.0,1307.58,0.0,0.0,0.0,2681.95,0,20.0,1,0,0.0,264797.0,35800.0,0.303,0,0,2,1
302,6300,6300,6300.0,36,17.27,225.46,-3,4.0,95000.0,18249.5,0,3,0.0,0.0,9,0,3990,55.4,24,0.0,0.0,6566.5,6566.5,6300.0,266.5,0.0,0.0,0.0,6117.94,0,0.0,1,0,0.0,76758.0,7200.0,0.192,0,0,2,1
303,6800,6800,6800.0,36,17.27,243.36,-3,5.0,182000.0,35872.2,0,2,0.0,0.0,22,0,68707,75.2,69,0.0,0.0,7753.88,7753.88,6800.0,953.88,0.0,0.0,0.0,5328.77,0,0.0,1,0,0.0,777423.0,91400.0,0.197,0,0,2,1
307,16425,16425,16425.0,36,17.27,587.81,-3,5.0,37000.0,11662.4,0,1,73.0,0.0,18,0,25936,67.3,28,0.0,0.0,3775.6,3775.6,1806.6,1129.45,0.0,839.55,8.27,587.81,0,0.0,1,0,0.0,27540.0,38544.0,0.315,1,0,2,1
308,11500,11500,11500.0,36,17.27,411.56,-3,1.0,75000.0,12832.5,0,2,0.0,0.0,19,0,18723,55.8,33,0.0,0.0,14826.22138,14826.22,11500.0,3326.22,0.0,0.0,0.0,411.25,0,0.0,1,0,3372.0,440069.0,33578.0,0.171,0,0,2,1
309,5000,5000,5000.0,36,17.27,178.94,-3,8.0,110000.0,14520.0,0,2,25.0,0.0,14,0,19079,87.1,33,0.0,0.0,6381.369083,6381.37,5000.0,1381.37,0.0,0.0,0.0,1382.0,0,25.0,1,0,0.0,41528.0,21896.0,0.132,0,0,2,1
313,10000,10000,10000.0,36,17.27,357.88,-3,10.0,39000.0,8665.8,3,2,10.0,0.0,8,0,4134,61.7,14,0.0,0.0,12883.32806,12883.33,10000.0,2883.33,0.0,0.0,0.0,357.52,0,12.0,1,0,0.0,15939.0,6700.0,0.222,0,0,2,1
314,6200,6200,6200.0,36,17.27,221.89,-3,10.0,44000.0,4765.2,1,1,9.0,0.0,16,0,5944,44.7,35,0.0,0.0,6756.6,6756.6,4964.58,1777.02,15.0,0.0,0.0,606.25,0,38.0,1,0,3861.0,74032.0,13300.0,0.108,1,0,2,1
316,5800,5800,5800.0,36,17.27,207.57,-3,8.0,192000.0,19737.6,2,2,5.0,0.0,14,0,5555,55.5,34,0.0,0.0,7472.334568000001,7472.33,5800.0,1672.33,0.0,0.0,0.0,207.38,0,23.0,1,0,0.0,57864.0,10000.0,0.103,0,0,2,1
317,4950,4950,4950.0,36,17.27,177.15,-3,3.0,45000.0,8964.0,0,1,57.0,0.0,12,0,4591,77.8,21,0.0,0.0,6377.253836,6377.25,4950.0,1427.25,0.0,0.0,0.0,177.0,0,57.0,1,0,628.0,117891.0,5900.0,0.199,0,0,2,1
318,12000,12000,12000.0,36,17.27,429.45,-3,1.0,50000.0,7535.0,0,1,52.0,0.0,7,0,12318,72.9,21,0.0,0.0,14285.63084,14285.63,12000.0,2285.63,0.0,0.0,0.0,7852.58,0,52.0,1,0,0.0,187127.0,16900.0,0.151,0,0,2,1
320,10000,10000,10000.0,36,17.27,357.88,-3,10.0,66000.0,8085.0,0,1,72.0,0.0,7,0,7391,70.4,11,0.0,0.0,12883.32806,12883.33,10000.0,2883.33,0.0,0.0,0.0,357.52,0,72.0,1,0,0.0,18262.0,10500.0,0.122,0,0,2,1
321,12000,12000,12000.0,36,17.27,429.45,-3,10.0,58000.0,16883.8,0,1,40.0,0.0,8,0,10251,88.4,16,0.0,0.0,15460.0581,15460.06,12000.0,3460.06,0.0,0.0,0.0,429.3,0,40.0,1,0,0.0,45537.0,11600.0,0.29100000000000004,0,0,2,1
329,13000,13000,13000.0,36,17.27,465.24,-3,10.0,80000.0,14880.0,1,2,22.0,0.0,17,0,27139,61.4,39,0.0,0.0,16557.431930000002,16557.43,13000.0,3557.43,0.0,0.0,0.0,4009.39,0,0.0,1,0,0.0,332809.0,44200.0,0.18600000000000005,0,0,2,1
330,2400,2400,2400.0,36,17.27,85.89,-3,8.0,72500.0,12673.0,1,2,23.0,0.0,16,0,2956,25.9,25,0.0,0.0,3092.011621,3092.01,2400.0,692.01,0.0,0.0,0.0,85.86,0,59.0,1,0,1015.0,303990.0,11400.0,0.175,0,0,2,1
331,8000,8000,8000.0,36,17.27,286.3,-3,9.0,55000.0,14030.5,0,3,0.0,0.0,17,0,13928,67.9,19,0.0,0.0,1141.48,1141.48,697.32,444.16,0.0,0.0,0.0,286.3,0,0.0,1,0,0.0,205432.0,20500.0,0.255,1,0,2,1
333,12000,12000,12000.0,36,17.27,429.45,-3,10.0,50000.0,5510.0,0,2,26.0,0.0,15,0,14592,40.1,27,0.0,0.0,15460.05809,15460.06,12000.0,3460.06,0.0,0.0,0.0,429.3,0,0.0,1,0,0.0,157680.0,36400.0,0.11,0,0,2,1
337,1500,1500,1475.0,60,17.27,37.5,-3,10.0,65000.0,9022.0,0,2,30.0,0.0,11,0,11177,38.0,29,0.0,0.0,1760.63,1731.3,1500.0,260.63,0.0,0.0,0.0,1313.28,0,30.0,1,0,0.0,24918.0,29400.0,0.139,0,0,2,1
338,8000,8000,8000.0,60,17.27,199.99,-3,7.0,52000.0,12849.2,0,2,0.0,0.0,8,0,5104,91.1,21,3896.02,3896.02,7395.29,7395.29,4103.98,3291.31,0.0,0.0,0.0,199.99,0,0.0,1,0,0.0,54167.0,5600.0,0.247,0,1,1,1
339,12000,12000,12000.0,36,17.27,429.45,-3,9.0,48000.0,12432.0,2,3,2.0,0.0,16,0,6187,58.9,42,0.0,0.0,15460.0581,15460.06,12000.0,3460.06,0.0,0.0,0.0,429.3,0,0.0,1,0,0.0,234684.0,10500.0,0.259,0,0,2,1
340,10000,10000,10000.0,36,17.27,357.88,-3,6.0,101500.0,15022.0,0,3,0.0,0.0,7,0,34463,72.0,18,0.0,0.0,12844.11932,12844.12,10000.0,2844.12,0.0,0.0,0.0,1762.89,0,0.0,1,0,0.0,54135.0,47888.0,0.14800000000000002,0,0,2,1
343,10000,10000,10000.0,36,17.27,357.88,-3,1.0,65000.0,8268.0,1,1,13.0,0.0,12,0,4851,38.8,32,0.0,0.0,8258.2,8258.2,5487.58,2385.78,0.0,384.84,69.2712,357.88,0,13.0,1,0,171.0,115972.0,12500.0,0.127,1,0,2,1
344,6000,6000,6000.0,36,17.27,214.73,-3,7.0,250000.0,18375.0,1,1,20.0,0.0,9,0,1585,51.1,33,0.0,0.0,6086.36,6086.36,6000.0,86.36,0.0,0.0,0.0,6086.7,0,20.0,1,0,173.0,459067.0,3100.0,0.07400000000000001,0,0,2,1
345,11625,11625,11625.0,36,17.27,416.03,-3,2.0,70000.0,14126.0,0,3,30.0,0.0,22,0,10429,14.7,37,0.0,0.0,8791.44,8791.44,5385.78,2511.14,0.0,894.52,8.945199998,416.03,0,30.0,1,0,0.0,37894.0,71000.0,0.202,1,0,2,1
347,8800,8800,8800.0,36,17.27,314.93,-3,1.0,44000.0,14027.2,0,3,0.0,0.0,9,0,9337,55.6,20,0.0,0.0,9050.34,9050.34,8800.0,250.34,0.0,0.0,0.0,8737.58,0,0.0,1,0,0.0,66857.0,16800.0,0.319,0,0,2,1
